"λ,n (nm)", D, PAS
652,0.960848795,0.997576006
653,0.992298316,0.997020251
654,0.982297171,0.996464496
655,0.937810897,0.995908741
656,0.824106637,0.995352986
657,0.862632479,0.994797231
658,0.965335584,0.994241477
659,0.96974889,0.993685722
660,0.976751106,0.993129967
661,0.971791408,0.990769546
662,0.962997213,0.988409126
663,0.96388922,0.986048705
664,0.971589256,0.983688285
665,0.987886025,0.981327865
666,0.986228509,0.978967444
667,0.978319586,0.976607024
668,0.98074526,0.974246603
669,0.996732019,0.971886183
670,0.982097849,0.969525763
671,0.97719723,0.965085875
672,0.960604972,0.960645988
673,0.965949739,0.956206101
674,0.961527076,0.951766214
675,0.950560263,0.947326327
676,0.958505481,0.942886439
677,0.946672813,0.938446552
678,0.948645172,0.934006665
679,0.937527804,0.929566778
680,0.935897604,0.925126891
681,0.921520373,0.913108434
682,0.915045429,0.901089977
683,0.894397086,0.88907152
684,0.877783328,0.877053063
685,0.867587398,0.865034607
686,0.83746051,0.85301615
687,0.595727112,0.840997693
688,0.680645299,0.828979236
689,0.676068576,0.816960779
690,0.699209788,0.804942322
691,0.698839201,0.770000513
692,0.687375922,0.735058703
693,0.651508581,0.700116893
694,0.612752902,0.665175083
695,0.593060121,0.630233274
696,0.559657356,0.595291464
697,0.557468518,0.560349654
698,0.515209629,0.525407844
699,0.471624272,0.490466034
700,0.435419261,0.455524225
701,0.408562749,0.43235273
702,0.387672384,0.409181236
703,0.368345359,0.386009741
704,0.355727189,0.362838247
705,0.336946428,0.339666752
706,0.312734276,0.316495258
707,0.289049894,0.293323763
708,0.26573064,0.270152269
709,0.244150918,0.246980774
710,0.222903376,0.22380928
711,0.217627044,0.218537811
712,0.211315631,0.213266342
713,0.203963291,0.207994873
714,0.200782024,0.202723404
715,0.189186718,0.197451935
716,0.186281755,0.192180467
717,0.157942662,0.186908998
718,0.142934804,0.181637529
719,0.124606785,0.17636606
720,0.129222444,0.171094591
721,0.138222362,0.165822097
722,0.153097939,0.160549603
723,0.136757552,0.155277108
724,0.122010576,0.150004614
725,0.11592593,0.14473212
726,0.116523503,0.139459626
727,0.112653947,0.134187132
728,0.103875129,0.128914637
729,0.100393934,0.123642143
730,0.103778865,0.118369649
731,0.094793359,0.113852858
732,0.098237864,0.109336068
733,0.09780748,0.104819277
734,0.096814427,0.100302487
735,0.091234736,0.095785696
736,0.086195621,0.091268905
737,0.081901045,0.086752115
738,0.079224626,0.082235324
739,0.072743581,0.077718534
740,0.070277045,0.073201743
741,0.068928748,0.071979492
742,0.067876415,0.070757242
743,0.068179227,0.069534991
744,0.067600079,0.06831274
745,0.066446512,0.06709049
746,0.065180806,0.065868239
747,0.064091693,0.064645988
748,0.062578557,0.063423738
749,0.061234869,0.062201487
750,0.060032237,0.060979236
751,0.058643019,0.059756985
752,0.057724727,0.058534735
753,0.056298749,0.057312484
754,0.055863296,0.056090233
755,0.054553527,0.054867983
756,0.052754884,0.053645732
757,0.051572849,0.052423481
758,0.050741029,0.05120123
759,0.048179162,0.04997898
760,0.010415327,0.048756729
761,0.005850417,0.047534478
762,0.025765842,0.046312228
763,0.01382317,0.045089977
764,0.019150431,0.043867726
765,0.023753908,0.042645476
766,0.027447152,0.041423225
767,0.031911208,0.040200974
768,0.035429968,0.038978723
769,0.034794158,0.037756473
770,0.034697752,0.036534222
771,0.033804007,0.035311971
772,0.032931383,0.034089721
773,0.03177,0.03286747
774,0.030625137,0.031645219
775,0.029477251,0.030422968
776,0.028391397,0.029200718
777,0.027070327,0.027978467
778,0.02588649,0.026756216
779,0.024842221,0.025533966
780,0.023419015,0.024311715
781,0.022210391,0.023089464
782,0.021157471,0.021867214
783,0.019913264,0.020644963
784,0.018626938,0.019422712
785,0.017548,0.018200461
786,0.016393456,0.016978211
787,0.015039249,0.01575596
788,0.01370701,0.014533709
789,0.012509627,0.013311459
790,0.011014903,0.012089208
791,0.01005341,0.010880287
792,0.008852877,0.009671366
793,0.007690012,0.008462446
794,0.006647483,0.007253525
795,0.005512323,0.006044604
796,0.004320992,0.004835683
797,0.003276787,0.003626762
798,0.002202411,0.002417842
799,0.001038912,0.001208921
