"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
1855,1.66855,1855,0.0772,5229.777959183441,,,
1860,1.66633,1860,0.07792,5264.3634315638,,,
1865,1.6641,1865,0.07864,5298.76345905204,,,
1870,1.66186,1870,0.07937,5333.651527602607,,,
1875,1.65962,1875,0.0801,5368.353526454239,,,
1880,1.65736,1880,0.08084,5403.539364174444,,,
1885,1.6551,1885,0.08158,5438.538539625577,,,
1890,1.65284,1890,0.08233,5474.017421588311,,,
1895,1.65056,1895,0.08309,5509.972212913475,,,
1900,1.64828,1900,0.08385,5545.737768494824,,,
1905,1.64599,1905,0.08461,5581.315578377584,,,
1910,1.6437,1910,0.08538,5617.365042167467,,,
1915,1.64139,1915,0.08616,5653.882465447448,,,
1920,1.63908,1920,0.08694,5690.209693814513,,,
1925,1.63677,1925,0.08773,5727.001007780416,,,
1930,1.63444,1930,0.08853,5764.252800462266,,,
1935,1.63211,1935,0.08933,5801.312077419665,,,
1940,1.62977,1940,0.09014,5838.828078238845,,,
1945,1.62742,1945,0.09095,5876.151194735048,,,
1950,1.62506,1950,0.09177,5913.9273398961095,,,
1955,1.6227,1955,0.0926,5952.153037798769,,,
1960,1.62033,1960,0.09343,5990.183706630497,,,
1965,1.61795,1965,0.09427,6028.660345117758,,,
1970,1.61556,1970,0.09511,6066.941670719294,,,
1975,1.61317,1975,0.09596,6105.665438753956,,,
1980,1.61077,1980,0.09682,6144.828297385127,,,
1985,1.60836,1985,0.09768,6183.793862018156,,,
1990,1.60595,1990,0.09855,6223.195095704003,,,
1995,1.60352,1995,0.09943,6263.028722735502,,,
2000,1.60109,2000,0.10031,6302.663181631843,,,
