"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
1230,1.823647,1230,0.001915,195.64715224794975,,,
1235,1.82333,1235,0.001938,197.1953542560978,,,
1240,1.823016,1240,0.001962,198.83241246268304,,,
1245,1.822703,1245,0.001986,200.456321607368,,,
1250,1.822391,1250,0.00201,202.0672394788955,,,
1255,1.822081,1255,0.002035,203.76545179458898,,,
1260,1.821773,1260,0.002059,205.35045313464713,,,
1265,1.821465,1265,0.002084,207.02226371798037,,,
1270,1.821159,1270,0.002109,208.6809104384527,,,
1275,1.820855,1275,0.002134,210.32654816503904,,,
1280,1.820552,1280,0.002159,211.95932934688634,,,
1285,1.82025,1285,0.002185,213.67719682781936,,,
1290,1.819949,1290,0.002211,215.38174750657464,,,
1295,1.819649,1295,0.002237,217.073135631826,,,
1300,1.819351,1300,0.002263,218.75151307919083,,,
1305,1.819054,1305,0.002289,220.41702939669074,,,
1310,1.818758,1310,0.002316,222.16575834241104,,,
1315,1.818463,1315,0.002343,223.9011889691524,,,
1320,1.818169,1320,0.00237,225.6234723941761,,,
1325,1.817876,1325,0.002397,227.33275745372782,,,
1330,1.817584,1330,0.002424,229.02919074591452,,,
1335,1.817294,1335,0.002452,230.80704678957824,,,
1340,1.817003,1340,0.00248,232.57163525082646,,,
1345,1.816715,1345,0.002508,234.32310409526252,,,
1350,1.816427,1350,0.002536,236.06159909640638,,,
1355,1.81614,1355,0.002564,237.7872638761396,,,
1360,1.815853,1360,0.002593,239.59263972818624,,,
1365,1.815568,1365,0.002622,241.3847893835147,,,
1370,1.815284,1370,0.002651,243.16385765449758,,,
1375,1.815,1375,0.00268,244.92998724714607,,,
1380,1.814717,1380,0.002709,246.6833187992681,,,
1385,1.814435,1385,0.002739,248.51472283559403,,,
1390,1.814154,1390,0.002769,250.3329513033133,,,
1395,1.813874,1395,0.002799,252.1381458752066,,,
1400,1.813594,1400,0.00283,254.02020599026042,,,
1405,1.813315,1405,0.00286,255.79943029941094,,,
1410,1.813036,1410,0.002891,257.6551591922863,,,
1415,1.812758,1415,0.002922,259.49777339333923,,,
1420,1.812481,1420,0.002953,261.3274114380468,,,
1425,1.812205,1425,0.002985,263.23239497447105,,,
1430,1.811929,1430,0.003016,265.0361802301207,,,
1435,1.811653,1435,0.003048,266.9149660806046,,,
1440,1.811379,1440,0.00308,268.7807048071267,,,
1445,1.811105,1445,0.003113,270.72049634948166,,,
1450,1.810831,1450,0.003145,272.5602453942041,,,
1455,1.810558,1455,0.003178,274.47371692394125,,,
1460,1.810285,1460,0.003211,276.3740824842966,,,
1465,1.810013,1465,0.003244,278.261476266083,,,
1470,1.809742,1470,0.003278,280.22151614877123,,,
1475,1.80947,1475,0.003311,282.08307189249643,,,
1480,1.8092,1480,0.003345,284.0169574664286,,,
1485,1.80893,1485,0.003379,285.9378202418831,,,
1490,1.80866,1490,0.003414,287.9301293786726,,,
1495,1.808391,1495,0.003448,289.82505604221024,,,
1500,1.808121,1500,0.003483,291.79112566542,,,
1505,1.807853,1505,0.003518,293.74413170309344,,,
1510,1.807585,1510,0.003554,295.76742492339406,,,
1515,1.807317,1515,0.003589,297.69441673224475,,,
1520,1.80705,1520,0.003625,299.69140445428957,,,
1525,1.806782,1525,0.003661,301.67529717487827,,,
1530,1.806516,1530,0.003697,303.6462232763782,,,
1535,1.806249,1535,0.003734,305.6861750750303,,,
1540,1.805983,1540,0.00377,307.63128062424727,,,
1545,1.805717,1545,0.003807,309.6451322256658,,,
1550,1.805452,1550,0.003845,311.7270645949098,,,
