"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
1545,1.905771,1545,0,0,,,
1550,1.905677,1550,0,0,,,
1555,1.905585,1555,0,0,,,
1560,1.905493,1560,0,0,,,
1565,1.905402,1565,0,0,,,
1570,1.905312,1570,0,0,,,
1575,1.905224,1575,0,0,,,
1580,1.905135,1580,0,0,,,
1585,1.905048,1585,0,0,,,
1590,1.904962,1590,0,0,,,
1595,1.904876,1595,0,0,,,
1600,1.904791,1600,0,0,,,
1605,1.904707,1605,0,0,,,
1610,1.904624,1610,0,0,,,
1615,1.904542,1615,0,0,,,
1620,1.90446,1620,0,0,,,
1625,1.90438,1625,0,0,,,
1630,1.904299,1630,0,0,,,
1635,1.90422,1635,0,0,,,
1640,1.904141,1640,0,0,,,
1645,1.904064,1645,0,0,,,
1650,1.903986,1650,0,0,,,
1655,1.90391,1655,0,0,,,
1660,1.903835,1660,0,0,,,
1665,1.90376,1665,0,0,,,
1670,1.903685,1670,0,0,,,
1675,1.903611,1675,0,0,,,
1680,1.903539,1680,0,0,,,
1685,1.903466,1685,0,0,,,
1690,1.903394,1690,0,0,,,
1695,1.903323,1695,0,0,,,
1700,1.903253,1700,0,0,,,
1705,1.903184,1705,0,0,,,
1710,1.903114,1710,0,0,,,
1715,1.903046,1715,0,0,,,
1720,1.902978,1720,0,0,,,
1725,1.902911,1725,0,0,,,
1730,1.902844,1730,0,0,,,
1735,1.902778,1735,0,0,,,
1740,1.902712,1740,0,0,,,
1745,1.902647,1745,0,0,,,
1750,1.902583,1750,0,0,,,
1755,1.902519,1755,0,0,,,
1760,1.902456,1760,0,0,,,
1765,1.902394,1765,0,0,,,
1770,1.902331,1770,0,0,,,
1775,1.90227,1775,0,0,,,
1780,1.902208,1780,0,0,,,
1785,1.902148,1785,0,0,,,
1790,1.902088,1790,0,0,,,
1795,1.902028,1795,0,0,,,
1800,1.901969,1800,0,0,,,
1805,1.901911,1805,0,0,,,
1810,1.901853,1810,0,0,,,
1815,1.901795,1815,0,0,,,
1820,1.901738,1820,0,0,,,
1825,1.901682,1825,0,0,,,
1830,1.901625,1830,0,0,,,
1835,1.90157,1835,0,0,,,
1840,1.901515,1840,0,0,,,
1845,1.90146,1845,0,0,,,
1850,1.901406,1850,0,0,,,
1855,1.901352,1855,0,0,,,
1860,1.901298,1860,0,0,,,
1865,1.901245,1865,0,0,,,
1870,1.901193,1870,0,0,,,
1875,1.901141,1875,0,0,,,
1880,1.901089,1880,0,0,,,
1885,1.901038,1885,0,0,,,
1890,1.900987,1890,0,0,,,
1895,1.900936,1895,0,0,,,
1900,1.900886,1900,0,0,,,
1905,1.900837,1905,0,0,,,
1910,1.900788,1910,0,0,,,
1915,1.900739,1915,0,0,,,
1920,1.90069,1920,0,0,,,
1925,1.900642,1925,0,0,,,
1930,1.900595,1930,0,0,,,
1935,1.900547,1935,0,0,,,
1940,1.9005,1940,0,0,,,
1945,1.900454,1945,0,0,,,
1950,1.900407,1950,0,0,,,
1955,1.900362,1955,0,0,,,
1960,1.900316,1960,0,0,,,
1965,1.900271,1965,0,0,,,
1970,1.900226,1970,0,0,,,
1975,1.900182,1975,0,0,,,
1980,1.900137,1980,0,0,,,
1985,1.900094,1985,0,0,,,
1990,1.90005,1990,0,0,,,
1995,1.900007,1995,0,0,,,
2000,1.899964,2000,0,0,,,
